match_id,group,date_utc,venue,home_team,away_team,elo_home,elo_away,elo_diff,form_home_pts,form_away_pts,form_diff,weighted_form_home,weighted_form_away,gf_home_last_n,ga_home_last_n,gf_away_last_n,ga_away_last_n,attack_home,defense_home,attack_away,defense_away,neutral,tournament_weight,points_last_5_home,points_last_5_away,goal_diff_last_5_home,goal_diff_last_5_away,goals_for_last_5_home,goals_for_last_5_away,goals_against_last_5_home,goals_against_last_5_away,win_streak_home,win_streak_away,loss_streak_home,loss_streak_away,clean_sheet_rate_home,clean_sheet_rate_away,failed_to_score_rate_home,failed_to_score_rate_away,h2h_goal_diff,common_opponent_diff,experience_score_home,experience_score_away,avg_age_home,avg_age_away,market_value_proxy_home,market_value_proxy_away,top5_league_count_home,top5_league_count_away,goal_trend_home,goal_trend_away,form_consistency_home,form_consistency_away,attack_ratio_home,attack_ratio_away,elo_form_interaction,goals_per90_home,goals_per90_away,assists_per90_home,assists_per90_away,coach_win_rate_home,coach_win_rate_away,coach_wc_apps_home,coach_wc_apps_away,altitude_m,travel_km_diff,temp_celsius,upset_risk,upset_label
1,A,2026-06-11 19:00:00+00:00,"Estadio Azteca, Mexico City",Mexico,South Africa,1860.0,1524.0,336.0,11.0,5.0,5.805275272336514,12.39505248160155,6.589777209265035,9.0,2.0,4.0,5.0,1.0741,0.5185,1.0741,0.5556,1,4.0,11.0,5.0,7.0,-1.0,9.0,4.0,2.0,5.0,3,1,0,0,0.6,0.4,0.2,0.2,0.3333333333333333,0.8947,52,47,26.2,24.0,11.31,3.97,5.0,1.0,0.2,-0.7,0.9798,1.0954,1.6383,1.7366,4.8764,0.1308,0.1974,0.0595,0.1316,0.46,0.49,3.0,0.0,2240.0,14579,15.0,0.3599,Düşük
2,A,2026-06-12 02:00:00+00:00,"Estadio Akron, Guadalajara",South Korea,Czechia,1752.0,1726.0,26.0,9.0,11.0,-1.6724094113806363,9.982771765858098,11.655181177238735,7.0,5.0,17.0,6.0,1.2963,0.7037,1.4815,0.8519,1,4.0,9.0,11.0,2.0,11.0,7.0,17.0,5.0,6.0,2,2,0,0,0.6,0.2,0.4,0.0,-2.0,-0.3115,39,35,26.25,25.506410256410252,17.45,107.58538461538458,8.0,53.12820512820513,-0.1,1.2,1.4697,0.9798,1.3618,1.8433,-0.1087,0.1446,0.13285128205128205,0.0935,0.09216666666666666,0.45,0.46,0.0,0.0,1566.0,-1590,18.0,0.7217,Yüksek
3,B,2026-06-12 19:00:00+00:00,"BMO Field, Toronto",Canada,Bosnia and Herzegovina,1784.0,1594.0,190.0,9.0,5.0,3.5549610782782217,8.554961078278222,5.0,7.0,3.0,4.0,4.0,1.1481,0.4074,1.0741,1.1111,1,4.0,9.0,5.0,4.0,0.0,7.0,4.0,3.0,4.0,0,0,0,0,0.6,0.2,0.2,0.2,0.0,-0.363,41,31,24.67,25.506410256410252,20.45,107.58538461538458,9.0,53.12820512820513,0.3,-1.2,0.9798,0.0,0.948,2.1169,1.6886,0.2455,0.13285128205128205,0.1067,0.09216666666666666,0.42,0.44,0.0,0.0,75.0,6979,22.0,0.4243,Düşük
4,D,2026-06-13 01:00:00+00:00,"SoFi Stadium, Los Angeles",United States,Paraguay,1721.0,1833.0,-112.0,6.0,9.0,-4.3351167651653375,5.332441617417332,9.66755838258267,11.0,12.0,9.0,5.0,1.2222,1.1852,0.9259,0.6667,1,4.0,6.0,9.0,-1.0,4.0,11.0,9.0,12.0,5.0,0,1,1,0,0.0,0.4,0.2,0.0,-0.0,0.4786,49,32,25.506410256410252,25.0,107.58538461538458,9.16,53.12820512820513,4.0,0.4,0.6,1.4697,1.4697,1.5941,0.7204,1.2138,0.13285128205128205,0.1161,0.09216666666666666,0.1045,0.51,0.46,0.0,1.0,37.0,7309,22.0,0.5714,Orta
5,D,2026-06-13 04:00:00+00:00,"BC Place, Vancouver",Australia,Turkey,1783.0,1902.0,-119.0,7.0,13.0,-7.292154478863777,6.567338283622158,13.859492762485935,7.0,6.0,10.0,3.0,1.0741,0.6296,1.5556,0.8148,1,4.0,7.0,13.0,1.0,7.0,7.0,10.0,6.0,3.0,0,4,0,0,0.2,0.6,0.4,0.0,-1.5,-0.3139,36,37,27.75,25.506410256410252,8.11,107.58538461538458,4.0,53.12820512820513,0.1,-0.5,1.3565,0.8,1.1741,2.1321,2.1694,0.0111,0.13285128205128205,0.0333,0.09216666666666666,0.48,0.48,0.0,0.0,5.0,-2930,17.0,0.4196,Düşük
6,B,2026-06-13 19:00:00+00:00,"Levi's Stadium, Santa Clara",Qatar,Switzerland,1425.0,1889.0,-464.0,2.0,6.0,-4.399903510399516,2.2823301899224475,6.682233700321963,1.0,6.0,9.0,7.0,0.8148,1.2963,1.4815,0.963,1,4.0,2.0,6.0,-5.0,2.0,1.0,9.0,6.0,7.0,0,0,0,0,0.2,0.2,0.8,0.2,1.0,-1.4406,46,37,25.506410256410252,25.66,107.58538461538458,94.77,53.12820512820513,47.0,-0.5,-0.4,0.4899,0.9798,0.7665,1.061,5.1039,0.13285128205128205,0.0766,0.09216666666666666,0.0753,0.41,0.53,0.0,1.0,7.0,-3639,22.0,0.3202,Düşük
7,C,2026-06-13 22:00:00+00:00,"MetLife Stadium, East Rutherford",Brazil,Morocco,1984.0,1822.0,162.0,10.0,11.0,0.9035596776339361,11.662832341159358,10.759272663525422,13.0,7.0,13.0,3.0,1.4074,0.7407,1.5185,0.2593,1,4.0,10.0,11.0,6.0,10.0,13.0,13.0,7.0,3.0,3,0,0,0,0.0,0.4,0.0,0.0,-1.0,1.3799,36,48,24.74,23.78,185.71,103.52,92.0,51.0,0.1,0.4,1.2649,0.9798,3.9171,1.8062,0.3659,0.1709,0.1523,0.0836,0.1273,0.55,0.52,0.0,1.0,4.0,-1005,24.0,0.5618,Orta
8,C,2026-06-14 01:00:00+00:00,"Gillette Stadium, Boston",Haiti,Scotland,1532.0,1767.0,-235.0,7.0,9.0,-3.710140877502324,6.272630888355774,9.982771765858098,8.0,4.0,12.0,5.0,1.6667,0.8519,1.2593,0.8889,1,4.0,7.0,9.0,4.0,7.0,8.0,12.0,4.0,5.0,0,2,1,0,0.4,0.2,0.2,0.4,0.0,-1.1232,32,35,25.75,25.5,9.21,37.78,4.0,18.0,0.1,0.3,1.3565,1.4697,1.6854,1.3229,2.1797,0.1205,0.178,0.0602,0.0656,0.36,0.5,0.0,0.0,50.0,2295,23.0,0.5569,Orta
9,E,2026-06-14 17:00:00+00:00,"NRG Stadium, Houston",Germany,Curaçao,1923.0,1436.0,487.0,15.0,4.0,9.7794162328022,15.0,5.2205837671978,18.0,5.0,6.0,11.0,1.9259,0.7407,1.4815,0.7778,1,4.0,15.0,4.0,13.0,-5.0,18.0,6.0,5.0,11.0,5,1,0,0,0.4,0.4,0.0,0.4,0.0,3.987,37,31,25.3,25.506410256410252,455.29,107.58538461538458,227.0,53.12820512820513,0.8,-0.7,0.0,1.1662,2.194,1.7622,11.9064,0.1287,0.13285128205128205,0.0847,0.09216666666666666,0.57,0.4,0.0,0.0,15.0,-5216,32.0,0.3095,Düşük
10,F,2026-06-14 20:00:00+00:00,"AT&T Stadium, Dallas",Netherlands,Japan,1961.0,1904.0,57.0,10.0,15.0,-5.502059303023115,9.497940696976885,15.0,9.0,4.0,8.0,0.0,1.8519,0.7407,1.7778,0.3333,1,4.0,10.0,15.0,5.0,8.0,9.0,8.0,4.0,0.0,1,5,0,0,0.2,1.0,0.2,0.0,1.3333333333333333,0.8492,37,36,25.28,25.5,165.14,44.84,82.0,22.0,-0.4,-0.3,1.2649,0.0,4.2739,2.1147,-0.784,0.114,0.0835,0.076,0.0928,0.54,0.54,0.0,1.0,167.0,2461,32.0,0.6358,Orta
