date,home_team,away_team,elo_home,elo_away,elo_diff,form_home_pts,form_away_pts,form_diff,weighted_form_home,weighted_form_away,gf_home_last_n,ga_home_last_n,gf_away_last_n,ga_away_last_n,attack_home,defense_home,attack_away,defense_away,neutral,tournament_weight,home_score,away_score,result
2000-01-04,Egypt,Togo,1629.0,,,5.0,1.0,5.2205837671978,5.952803907639992,0.732220140442192,7.0,11.0,4.0,9.0,0.8519,1.1111,0.8519,1.0741,0,1.0,2,1,H
2000-01-07,Tunisia,Togo,1644.0,,,10.0,1.0,10.304531684207713,10.874785302964746,0.5702536187570333,5.0,3.0,4.0,9.0,1.037,0.6667,0.8519,1.0741,0,1.0,7,0,H
2000-01-08,Trinidad & Tobago,Canada,,1567.0,,10.0,10.0,-3.473644591056938,7.93521601079508,11.408860601852018,16.0,10.0,5.0,4.0,2.0741,1.1481,0.5926,0.8148,0,1.0,0,0,D
2000-01-09,Burkina Faso,Gabon,,,,4.0,7.0,-5.760137104984993,2.4429809967132914,8.203118101698285,6.0,9.0,6.0,8.0,1.1111,1.1852,1.1111,0.7778,0,1.0,1,1,D
2000-01-09,Guatemala,Armenia,,,,5.0,4.0,-0.46056889355820374,4.760014873639596,5.2205837671978,5.0,6.0,5.0,7.0,0.8519,1.1481,0.5926,1.0741,1,1.0,1,1,D
2000-01-09,Côte d'Ivoire,Egypt,1563.0,1629.0,-66.0,5.0,7.0,-2.88946062070404,5.952803907639992,8.842264528344032,4.0,6.0,7.0,10.0,1.0741,0.7037,0.8519,1.0741,0,1.0,2,0,H
2000-01-09,Mexico,Iran,1904.0,1759.0,145.0,8.0,7.0,0.20031796657562406,6.664758247460009,6.464440280884385,5.0,4.0,5.0,4.0,1.1111,0.8519,1.2593,0.7407,1,1.0,2,1,H
2000-01-11,Bermuda,Canada,,1567.0,,12.0,11.0,1.7440925670295684,12.179432187184673,10.435339620155105,15.0,4.0,5.0,2.0,1.2222,1.0,0.5926,0.8148,0,1.0,0,2,A
2000-01-11,Burkina Faso,Cameroon,,,,2.0,11.0,-10.27468881336426,2.120363668237289,12.39505248160155,6.0,10.0,9.0,2.0,1.1111,1.1852,1.0,0.5185,0,1.0,2,2,D
2000-01-13,Senegal,Cameroon,1523.0,,,13.0,11.0,1.1405072375140666,11.899779901039489,10.759272663525422,14.0,2.0,10.0,3.0,1.1481,0.6667,0.963,0.5556,0,1.0,0,0,D
2000-01-14,China,New Zealand,,1506.0,,9.0,1.0,8.61140519877016,9.181658817527193,0.5702536187570333,13.0,4.0,2.0,8.0,1.4815,0.7037,0.8889,0.9259,0,1.0,1,0,H
2000-01-16,Jamaica,New Zealand,,1506.0,,4.0,0.0,5.857557068822844,5.857557068822844,0.0,7.0,10.0,1.0,8.0,1.0,1.5556,0.8889,0.8889,1,1.0,2,1,H
2000-01-16,United States,Iran,1804.0,1759.0,45.0,7.0,6.0,1.148158401434693,5.738555589468504,4.590397188033811,7.0,5.0,5.0,5.0,0.8148,0.5926,1.2593,0.8148,0,1.0,1,1,D
2000-01-18,Ghana,Tunisia,1590.0,1644.0,-54.0,8.0,13.0,-6.648845728212422,6.470775729910695,13.119621458123117,5.0,5.0,12.0,1.0,0.7037,0.7778,1.1852,0.6296,0,1.0,2,0,H
2000-01-18,Morocco,Trinidad & Tobago,1758.0,,,10.0,8.0,2.68149149020779,9.079212088224164,6.397720598016374,5.0,6.0,10.0,9.0,0.963,0.8889,2.0741,1.0741,0,1.0,1,0,H
2000-01-19,Panama,Guatemala,1349.0,,,7.0,6.0,2.311104564591636,7.568317925093943,5.257213360502307,4.0,9.0,5.0,4.0,0.7407,0.963,0.7778,1.0741,0,1.0,2,0,H
2000-01-19,Togo,Egypt,,1629.0,,0.0,6.0,-6.4422485739615585,0.0,6.4422485739615585,4.0,16.0,5.0,10.0,0.7778,1.2963,0.7778,1.0741,0,1.0,1,0,H
2000-01-20,Burkina Faso,Algeria,,1487.0,,2.0,8.0,-6.016034750592986,2.757336969862333,8.77337172045532,7.0,11.0,7.0,4.0,1.1852,1.2222,0.8519,0.6667,0,1.0,1,0,H
2000-01-20,Malta,Qatar,,1447.0,,1.0,10.0,-7.5291020387439085,1.5501100494802555,9.079212088224164,5.0,11.0,7.0,3.0,0.5185,1.8519,1.0,0.8519,0,1.0,2,0,H
2000-01-21,New Zealand,South Korea,1506.0,1724.0,-218.0,0.0,6.0,-5.4082870970718755,0.0,5.4082870970718755,2.0,9.0,4.0,4.0,0.9259,0.7778,0.8889,0.963,0,1.0,0,1,A
2000-01-22,Ghana,Cameroon,1590.0,,,8.0,11.0,-1.1278926008125172,8.357433459462818,9.485326060275336,5.0,4.0,10.0,3.0,0.7778,0.6667,0.9259,0.5556,0,1.5,1,1,D
2000-01-23,China,Philippines,,,,9.0,0.0,10.468671330913574,10.468671330913574,0.0,8.0,3.0,5.0,23.0,1.4815,0.7037,0.2963,2.4444,1,3.0,8,0,H
2000-01-23,Egypt,Zambia,1629.0,,,6.0,2.0,3.2397476950027917,5.0172282341419026,1.7774805391391109,4.0,6.0,3.0,11.0,0.7778,1.0741,0.6296,0.7778,1,1.5,2,0,H
2000-01-23,New Zealand,South Korea,1506.0,1724.0,-218.0,0.0,6.0,-7.529966480203479,0.0,7.529966480203479,1.0,8.0,4.0,4.0,0.9259,0.8148,0.8889,0.8519,0,1.0,0,0,D
2000-01-23,Nigeria,Tunisia,,1644.0,,7.0,10.0,-2.8205678128153266,6.064661757859524,8.88522957067485,4.0,7.0,11.0,3.0,0.6667,1.2963,1.1481,0.6667,0,1.5,4,2,H
2000-01-23,South Africa,Gabon,1648.0,,,9.0,8.0,2.0418937901272995,9.980598640837396,7.938704850710097,5.0,3.0,7.0,7.0,0.8519,0.7407,1.037,0.8148,1,1.5,3,1,H
2000-01-23,Vietnam,Guam,,,,10.0,12.0,-3.294202616509823,8.88522957067485,12.179432187184673,5.0,2.0,24.0,7.0,1.2222,0.5926,1.0,6.037,0,3.0,11,0,H
2000-01-24,DR Congo,Algeria,1520.0,1487.0,33.0,10.0,7.0,3.376383545190679,9.76497834642052,6.388594801229841,5.0,2.0,7.0,5.0,0.8148,0.8148,0.8148,0.6296,1,1.5,0,0,D
2000-01-24,Côte d'Ivoire,Togo,1563.0,,,7.0,3.0,4.191934379903265,8.842264528344032,4.650330148440767,5.0,5.0,4.0,14.0,1.1481,0.6296,0.7778,1.1852,1,1.5,1,1,D
2000-01-24,Qatar,Bosnia and Herzegovina,1447.0,1544.0,-97.0,7.0,4.0,0.5179718222707042,5.738555589468504,5.2205837671978,3.0,5.0,5.0,7.0,0.8889,0.8519,0.8889,1.2222,0,1.0,2,0,H
2000-01-25,Burkina Faso,Senegal,,1523.0,,5.0,11.0,-2.6875797205140497,6.797746339761286,9.485326060275336,7.0,9.0,8.0,0.0,1.1481,1.1481,1.0741,0.6296,1,1.5,1,3,A
2000-01-25,Morocco,Congo,1758.0,,,10.0,7.0,3.376383545190677,10.38888573790927,7.012502192718593,4.0,5.0,6.0,7.0,0.8889,0.8889,0.6667,0.7778,1,1.5,1,0,H
2000-01-26,China,Guam,,,,12.0,9.0,4.6503301484407675,12.803339578673425,8.153009430232657,15.0,1.0,22.0,17.0,1.7037,0.6667,0.963,5.9259,1,3.0,19,0,H
2000-01-26,Costa Rica,Trinidad & Tobago,,,,7.0,5.0,3.7182433148576943,7.368451231953063,3.650207917095369,10.0,9.0,8.0,9.0,1.7778,1.0,1.963,1.0741,0,1.0,2,1,H
2000-01-26,Guatemala,Panama,,1349.0,,5.0,7.0,-5.5619922634300725,3.650207917095369,9.212200180525441,3.0,4.0,5.0,9.0,0.7037,1.0741,0.7778,0.9259,0,1.0,1,1,D
2000-01-26,Spain,Poland,2006.0,,,10.0,5.0,4.285008093699711,7.93521601079508,3.650207917095369,14.0,3.0,4.0,6.0,2.4444,0.6296,1.1481,0.7037,0,1.0,3,0,H
2000-01-26,Uganda,Libya,,,,7.0,12.0,-6.044809125262174,6.758530453411251,12.803339578673425,4.0,2.0,9.0,4.0,0.8889,0.5926,0.7778,1.1111,0,1.0,3,2,H
2000-01-26,Vietnam,Philippines,,,,10.0,0.0,10.237812001339703,10.237812001339703,0.0,14.0,2.0,3.0,26.0,1.5556,0.5185,0.2963,2.4815,0,3.0,3,0,H
2000-01-27,Ghana,Togo,1590.0,,,8.0,4.0,2.4429809967132927,7.61477180733978,5.171790810626487,6.0,5.0,3.0,12.0,0.8148,0.6296,0.6667,1.2222,0,1.5,2,0,H
2000-01-27,South Africa,DR Congo,1648.0,1520.0,128.0,11.0,8.0,4.1563732827730195,11.97911422060905,7.822740937836031,6.0,2.0,3.0,2.0,0.9259,0.7407,0.8148,0.7778,1,1.5,1,0,H
2000-01-28,Cameroon,Côte d'Ivoire,,1563.0,,9.0,7.0,-0.3874111050433635,7.6049475183984505,7.992358623441814,10.0,4.0,6.0,6.0,0.963,0.5556,1.037,0.6296,1,1.5,3,0,H
2000-01-28,Egypt,Senegal,1629.0,1523.0,106.0,9.0,11.0,-2.1474161913205183,8.557751426038443,10.705167617358962,5.0,4.0,9.0,1.0,0.8148,1.037,1.1852,0.6296,1,1.5,1,0,H
2000-01-28,Nigeria,Congo,,,,7.0,6.0,3.023923345871224,8.041151580013127,5.0172282341419026,7.0,9.0,6.0,8.0,0.7037,1.3704,0.6667,0.7037,0,1.5,0,0,D
2000-01-28,United States Virgin Islands,Saint Lucia,,,,5.0,9.0,0.13524814184547207,6.8632372322584745,6.727989090413002,3.0,2.0,9.0,6.0,0.7407,0.4938,1.1852,1.0741,0,1.0,0,9,A
2000-01-29,Algeria,Gabon,1487.0,,,7.0,7.0,0.342883129098178,6.081438718566682,5.738555589468504,6.0,4.0,8.0,10.0,0.7778,0.6296,1.0,0.9259,1,1.5,3,1,H
