model,split,log_loss,brier,accuracy,mce,n
Elo Baseline,valid,1.039,0.2085,0.4836,0.0584,3540
Elo Baseline,test,1.0411,0.2088,0.4854,0.095,4541
Poisson,valid,0.9311,0.1835,0.5653,0.0358,3540
Poisson,test,0.9459,0.1867,0.5604,0.0221,4541
LR,valid,0.8808,0.1721,0.6051,0.0523,3540
LR,test,0.8917,0.1742,0.599,0.06,4541
Ensemble,valid,0.864,0.1694,0.5972,0.0447,3540
Ensemble,test,0.882,0.1727,0.5977,0.0392,4541
Random Forest,valid,0.8974,0.1769,0.5709,0.0746,3540
Random Forest,test,0.9103,0.1793,0.573,0.0729,4541
XGBoost,valid,0.8665,0.1699,0.5994,0.0461,3540
XGBoost,test,0.8869,0.1736,0.5963,0.0489,4541
LightGBM,valid,0.8936,0.1765,0.5669,0.0684,3540
LightGBM,test,0.9151,0.1803,0.558,0.0868,4541
