team,squad_size,avg_age,goals_per90,assists_per90,top5_league_count,forward_goals_p90,market_value_proxy
Albania,10,26.2,0.0308,0.0385,10,0.1042,20.31
Algeria,24,26.5,0.1374,0.1117,24,0.3925,49.37
Argentina,81,25.35,0.1445,0.0891,81,0.3049,163.44
Australia,4,27.75,0.0111,0.0333,4,0.0,8.11
Austria,30,27.13,0.1113,0.1015,30,0.1899,61.11
Belgium,58,25.31,0.0916,0.0844,58,0.2419,116.92
Brazil,92,24.74,0.1709,0.0836,92,0.3584,185.71
Cabo Verde,1,24.0,0.0,0.0,1,0.0,2.0
Canada,9,24.67,0.2455,0.1067,9,0.2521,20.45
Colombia,19,27.37,0.1429,0.1071,19,0.2242,39.43
Croatia,29,26.07,0.1825,0.0841,29,0.4175,59.83
Côte d'Ivoire,48,24.54,0.1462,0.1162,48,0.2834,97.46
Ecuador,10,21.9,0.0622,0.0415,10,0.1961,20.62
Egypt,4,27.25,0.2121,0.197,4,0.1659,10.12
England,199,24.41,0.1439,0.0958,199,0.3721,399.44
France,332,23.3,0.1327,0.0997,332,0.3329,665.33
Georgia,11,24.45,0.2917,0.1167,11,0.472,24.92
Germany,227,25.3,0.1287,0.0847,227,0.32,455.29
Ghana,28,24.93,0.1019,0.0697,28,0.2083,57.02
Haiti,4,25.75,0.1205,0.0602,4,0.1831,9.21
Hungary,8,26.25,0.075,0.0563,8,0.0,16.75
Japan,22,25.5,0.0835,0.0928,22,0.1804,44.84
Jordan,1,28.0,0.2439,0.2439,1,0.2439,4.44
Mexico,5,26.2,0.1308,0.0595,5,0.2632,11.31
Morocco,51,23.78,0.1523,0.1273,51,0.2666,103.52
Netherlands,82,25.28,0.114,0.076,82,0.3183,165.14
New Zealand,1,33.0,0.3,0.0,1,0.3,5.0
North Macedonia,3,27.33,0.0248,0.0744,3,0.0493,6.25
Norway,34,24.76,0.1477,0.1177,34,0.4224,69.48
Panama,1,29.0,0.1818,0.0909,1,0.0,3.82
Paraguay,4,25.0,0.1161,0.1045,4,0.1636,9.16
Portugal,60,24.98,0.1328,0.1219,60,0.2641,121.33
Romania,9,25.56,0.0,0.0391,9,0.0,18.0
Saudi Arabia,1,26.0,0.1333,0.2667,1,0.0,3.33
Scotland,18,25.5,0.178,0.0656,18,0.303,37.78
Senegal,56,23.29,0.1181,0.0796,56,0.292,113.18
Serbia,27,25.26,0.0869,0.0486,27,0.2699,54.87
Slovakia,9,27.22,0.0142,0.0332,9,0.0,18.14
Slovenia,8,26.12,0.1609,0.067,8,0.6011,17.61
South Africa,1,24.0,0.1974,0.1316,1,0.1974,3.97
South Korea,8,26.25,0.1446,0.0935,8,0.1841,17.45
Spain,419,24.93,0.0993,0.0854,419,0.2791,838.99
Switzerland,47,25.66,0.0766,0.0753,47,0.3004,94.77
Tunisia,7,26.71,0.082,0.0546,7,0.0,14.82
Turkey,19,23.53,0.1524,0.1039,19,0.3077,39.52
USA,28,23.18,0.1225,0.0775,28,0.3247,57.23
Uruguay,26,26.46,0.1406,0.0639,26,0.3448,53.41
Uzbekistan,1,21.0,0.0,0.0,1,0.0,2.0
